id,date,action,amount,coin,domain
"ttsY6UboLQ5Jydqsi8JQde8SRWuSc79I","2025-12-18 02:43:02","renewTLD","","","hahaquan"
"k0I4GESBjDLwrOCHnRFmOEf4LW9wIDn0","2025-12-18 02:43:02","renewTLD","","","xn--qrq961b"
"VXHML4PIsUYXqBKGYeqJlqUNEiXMiYUq","2025-12-18 02:43:02","renewTLD","","","nativeseed"
"AMpjqHCOH63o1nPTY7GKSnlvV8NG4jAy","2025-12-18 02:43:02","renewTLD","","","xn--fiq23l18g"
"ujnZzCuMOub2wYECvHmFihNOYpVXf8sD","2025-12-18 02:43:02","renewTLD","","","nipplebanana"
"QgV3SIvEZhUreil81fQKRBSL41MNMELD","2025-12-18 02:43:02","renewTLD","","","nongisnong"
"sfCgx66KD6I6Ynkn68z6fLmDEngksIs4","2025-12-18 02:43:02","renewTLD","","","prettyontheinside"
"mgcObAS8VXwPj5pP5FSIxHPUlkkCo9Rt","2025-12-18 02:43:02","renewTLD","","","xn--00w46q"
"R7D4FkwOlnzYTWOOp5T6kEMheC8GhRHZ","2025-12-18 02:43:02","renewTLD","","","birdlime"
"ZdRagPT1CJWhtBH0vjFymkxJfVgj0FjX","2025-12-18 02:43:02","renewTLD","","","xn--u71h4a"
"cccRQbF762zlixEdxp2FUS0nRgp2JySi","2025-12-18 02:43:02","renewTLD","","","naturewellbeing"
"1pmTHW53qG4jFFkKTy4fJFWIBxpFmUr2","2025-12-18 02:43:02","renewTLD","","","thousandsuns"
"p1ao3nP6clQPp7MbFwti1WZvih6etGYa","2025-12-18 02:43:02","renewTLD","","","noteat"
"S0Y8y7UzPddRHe7Yi3I2fSUvODzfso09","2025-12-18 02:43:02","renewTLD","","","brandget"
"zi4Ilcn1Q3F7eUqn71dJ5yKkGQeqNB68","2025-12-18 02:43:02","renewTLD","","","xn--45qqoj7c44m"
"eZwFvdfmDUYHbWJEF0jb6pnaany95QaY","2025-12-18 02:43:02","renewTLD","","","xn--qeiz367mmba"
"3WSFJp5eWLylc5f66VH0Wmivf60Ph5TE","2025-12-18 02:43:02","renewTLD","","","biddingworks"
"DL0rnPa6GP3Gijg1R4rVSpSG2DlgUpsB","2025-12-18 02:43:02","renewTLD","","","subworx"
"SVSkQVSrGab8UKhT3P4TU2Rue8lAPQ3U","2025-12-18 02:43:02","renewTLD","","","kingdomchairs"
"nfozuJitqCQWnT7lEVvoBfiuRNZolWKs","2025-12-18 02:43:02","renewTLD","","","blowagasket"
"8vkVbQUg1sRohN5rPjCugZh9nRgcueEC","2025-12-18 02:43:02","renewTLD","","","xn--qei4438muga"
